month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2023-08,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1851
2023-08,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1642
2023-08,Anxiety Disorders,RaceEthnicity,"White, NH",3114
2023-07,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2943
2023-07,Anxiety Disorders,RaceEthnicity,All,2563
2023-07,Anxiety Disorders,RaceEthnicity,"Asian, NH",1501
2023-07,Anxiety Disorders,RaceEthnicity,"Black, NH",1666
2023-07,Anxiety Disorders,RaceEthnicity,Hispanic,2169
2023-07,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1878
2023-07,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1541
2023-07,Anxiety Disorders,RaceEthnicity,"White, NH",3127
2023-06,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2785
2023-06,Anxiety Disorders,RaceEthnicity,All,2529
2023-06,Anxiety Disorders,RaceEthnicity,"Asian, NH",1452
2023-06,Anxiety Disorders,RaceEthnicity,"Black, NH",1645
2023-06,Anxiety Disorders,RaceEthnicity,Hispanic,2093
2023-06,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1867
2023-06,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1572
2023-06,Anxiety Disorders,RaceEthnicity,"White, NH",3113
2023-05,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2796
2023-05,Anxiety Disorders,RaceEthnicity,All,2482
2023-05,Anxiety Disorders,RaceEthnicity,"Asian, NH",1465
2023-05,Anxiety Disorders,RaceEthnicity,"Black, NH",1592
2023-05,Anxiety Disorders,RaceEthnicity,Hispanic,1988
2023-05,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1818
2023-05,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1416
2023-05,Anxiety Disorders,RaceEthnicity,"White, NH",3097
2023-04,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2795
2023-04,Anxiety Disorders,RaceEthnicity,All,2548
2023-04,Anxiety Disorders,RaceEthnicity,"Asian, NH",1527
2023-04,Anxiety Disorders,RaceEthnicity,"Black, NH",1638
2023-04,Anxiety Disorders,RaceEthnicity,Hispanic,2056
2023-04,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1833
2023-04,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1400
2023-04,Anxiety Disorders,RaceEthnicity,"White, NH",3170
2023-03,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2899
2023-03,Anxiety Disorders,RaceEthnicity,All,2573
2023-03,Anxiety Disorders,RaceEthnicity,"Asian, NH",1493
2023-03,Anxiety Disorders,RaceEthnicity,"Black, NH",1642
2023-03,Anxiety Disorders,RaceEthnicity,Hispanic,2097
2023-03,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1849
2023-03,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1446
2023-03,Anxiety Disorders,RaceEthnicity,"White, NH",3207
2023-02,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2795
2023-02,Anxiety Disorders,RaceEthnicity,All,2596
2023-02,Anxiety Disorders,RaceEthnicity,"Asian, NH",1559
2023-02,Anxiety Disorders,RaceEthnicity,"Black, NH",1645
2023-02,Anxiety Disorders,RaceEthnicity,Hispanic,2130
2023-02,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1896
2023-02,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1441
2023-02,Anxiety Disorders,RaceEthnicity,"White, NH",3226
2023-01,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",3012
2023-01,Anxiety Disorders,RaceEthnicity,All,2662
2023-01,Anxiety Disorders,RaceEthnicity,"Asian, NH",1638
2023-01,Anxiety Disorders,RaceEthnicity,"Black, NH",1700
2023-01,Anxiety Disorders,RaceEthnicity,Hispanic,2221
2023-01,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1965
2023-01,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1508
2023-01,Anxiety Disorders,RaceEthnicity,"White, NH",3288
2022-12,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2556
2022-12,Anxiety Disorders,RaceEthnicity,All,2303
2022-12,Anxiety Disorders,RaceEthnicity,"Asian, NH",1334
2022-12,Anxiety Disorders,RaceEthnicity,"Black, NH",1487
2022-12,Anxiety Disorders,RaceEthnicity,Hispanic,1850
2022-12,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1628
2022-12,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1300
2022-12,Anxiety Disorders,RaceEthnicity,"White, NH",2871
2022-11,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2595
2022-11,Anxiety Disorders,RaceEthnicity,All,2198
2022-11,Anxiety Disorders,RaceEthnicity,"Asian, NH",1319
2022-11,Anxiety Disorders,RaceEthnicity,"Black, NH",1367
2022-11,Anxiety Disorders,RaceEthnicity,Hispanic,1701
2022-11,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1492
2022-11,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1132
2022-11,Anxiety Disorders,RaceEthnicity,"White, NH",2821
2022-10,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2748
2022-10,Anxiety Disorders,RaceEthnicity,All,2342
2022-10,Anxiety Disorders,RaceEthnicity,"Asian, NH",1431
2022-10,Anxiety Disorders,RaceEthnicity,"Black, NH",1472
2022-10,Anxiety Disorders,RaceEthnicity,Hispanic,1925
2022-10,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1694
2022-10,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1466
2022-10,Anxiety Disorders,RaceEthnicity,"White, NH",2943
2022-09,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2826
2022-09,Anxiety Disorders,RaceEthnicity,All,2409
2022-09,Anxiety Disorders,RaceEthnicity,"Asian, NH",1479
2022-09,Anxiety Disorders,RaceEthnicity,"Black, NH",1528
2022-09,Anxiety Disorders,RaceEthnicity,Hispanic,2046
2022-09,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1780
2022-09,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1540
2022-09,Anxiety Disorders,RaceEthnicity,"White, NH",3009
2022-08,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2804
2022-08,Anxiety Disorders,RaceEthnicity,All,2484
2022-08,Anxiety Disorders,RaceEthnicity,"Asian, NH",1520
2022-08,Anxiety Disorders,RaceEthnicity,"Black, NH",1556
2022-08,Anxiety Disorders,RaceEthnicity,Hispanic,2168
2022-08,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1846
2022-08,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1510
2022-08,Anxiety Disorders,RaceEthnicity,"White, NH",3079
2022-07,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2971
2022-07,Anxiety Disorders,RaceEthnicity,All,2490
2022-07,Anxiety Disorders,RaceEthnicity,"Asian, NH",1471
2022-07,Anxiety Disorders,RaceEthnicity,"Black, NH",1580
2022-07,Anxiety Disorders,RaceEthnicity,Hispanic,2210
2022-07,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1798
2022-07,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1380
2022-07,Anxiety Disorders,RaceEthnicity,"White, NH",3065
2022-06,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2998
2022-06,Anxiety Disorders,RaceEthnicity,All,2476
2022-06,Anxiety Disorders,RaceEthnicity,"Asian, NH",1414
2022-06,Anxiety Disorders,RaceEthnicity,"Black, NH",1596
2022-06,Anxiety Disorders,RaceEthnicity,Hispanic,2144
2022-06,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1856
2022-06,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1455
2022-06,Anxiety Disorders,RaceEthnicity,"White, NH",3063
