month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2021-09,Anxiety Disorders,Age,35-64 years,3307
2021-09,Anxiety Disorders,Age,65+ years,2590
2021-09,Anxiety Disorders,Age,All,2671
2021-08,Anxiety Disorders,Age,12-17 years,2162
2021-08,Anxiety Disorders,Age,18-34 years,3076
2021-08,Anxiety Disorders,Age,35-64 years,3199
2021-08,Anxiety Disorders,Age,65+ years,2540
2021-08,Anxiety Disorders,Age,All,2606
2021-07,Anxiety Disorders,Age,12-17 years,2429
2021-07,Anxiety Disorders,Age,18-34 years,3216
2021-07,Anxiety Disorders,Age,35-64 years,3350
2021-07,Anxiety Disorders,Age,65+ years,2636
2021-07,Anxiety Disorders,Age,All,2752
2021-06,Anxiety Disorders,Age,12-17 years,2670
2021-06,Anxiety Disorders,Age,18-34 years,3434
2021-06,Anxiety Disorders,Age,35-64 years,3506
2021-06,Anxiety Disorders,Age,65+ years,2663
2021-06,Anxiety Disorders,Age,All,2888
2021-05,Anxiety Disorders,Age,12-17 years,2916
2021-05,Anxiety Disorders,Age,18-34 years,3538
2021-05,Anxiety Disorders,Age,35-64 years,3553
2021-05,Anxiety Disorders,Age,65+ years,2712
2021-05,Anxiety Disorders,Age,All,2949
2021-04,Anxiety Disorders,Age,12-17 years,2965
2021-04,Anxiety Disorders,Age,18-34 years,3590
2021-04,Anxiety Disorders,Age,35-64 years,3622
2021-04,Anxiety Disorders,Age,65+ years,2752
2021-04,Anxiety Disorders,Age,All,3034
2021-03,Anxiety Disorders,Age,12-17 years,3327
2021-03,Anxiety Disorders,Age,18-34 years,3802
2021-03,Anxiety Disorders,Age,35-64 years,3834
2021-03,Anxiety Disorders,Age,65+ years,2907
2021-03,Anxiety Disorders,Age,All,3252
2021-02,Anxiety Disorders,Age,12-17 years,3596
2021-02,Anxiety Disorders,Age,18-34 years,3927
2021-02,Anxiety Disorders,Age,35-64 years,3953
2021-02,Anxiety Disorders,Age,65+ years,2948
2021-02,Anxiety Disorders,Age,All,3387
2021-01,Anxiety Disorders,Age,12-17 years,3448
2021-01,Anxiety Disorders,Age,18-34 years,3815
2021-01,Anxiety Disorders,Age,35-64 years,3865
2021-01,Anxiety Disorders,Age,65+ years,2899
2021-01,Anxiety Disorders,Age,All,3324
2020-12,Anxiety Disorders,Age,12-17 years,3202
