month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2021-11,Any Mental Health,Sex,All,5430
2021-11,Any Mental Health,Sex,Female,5707
2021-11,Any Mental Health,Sex,Male,5199
2021-10,Any Mental Health,Sex,All,5627
2021-10,Any Mental Health,Sex,Female,5968
2021-10,Any Mental Health,Sex,Male,5324
2021-09,Any Mental Health,Sex,All,5452
2021-09,Any Mental Health,Sex,Female,5825
2021-09,Any Mental Health,Sex,Male,5115
2021-08,Any Mental Health,Sex,All,5228
2021-08,Any Mental Health,Sex,Female,5567
2021-08,Any Mental Health,Sex,Male,4923
2021-07,Any Mental Health,Sex,All,5521
2021-07,Any Mental Health,Sex,Female,5847
2021-07,Any Mental Health,Sex,Male,5230
2021-06,Any Mental Health,Sex,All,5854
2021-06,Any Mental Health,Sex,Female,6206
2021-06,Any Mental Health,Sex,Male,5546
2021-05,Any Mental Health,Sex,All,6068
2021-05,Any Mental Health,Sex,Female,6441
2021-05,Any Mental Health,Sex,Male,5740
2021-04,Any Mental Health,Sex,All,6194
2021-04,Any Mental Health,Sex,Female,6547
2021-04,Any Mental Health,Sex,Male,5894
2021-03,Any Mental Health,Sex,All,6678
2021-03,Any Mental Health,Sex,Female,7064
2021-03,Any Mental Health,Sex,Male,6362
2021-02,Any Mental Health,Sex,All,6918
2021-02,Any Mental Health,Sex,Female,7284
2021-02,Any Mental Health,Sex,Male,6605
2021-01,Any Mental Health,Sex,All,6732
2021-01,Any Mental Health,Sex,Female,7054
2021-01,Any Mental Health,Sex,Male,6451
2020-12,Any Mental Health,Sex,All,6488
2020-12,Any Mental Health,Sex,Female,6823
2020-12,Any Mental Health,Sex,Male,6203
2020-11,Any Mental Health,Sex,All,6536
2020-11,Any Mental Health,Sex,Female,6927
2020-11,Any Mental Health,Sex,Male,6180
2020-10,Any Mental Health,Sex,All,6878
2020-10,Any Mental Health,Sex,Female,7384
2020-10,Any Mental Health,Sex,Male,6400
2020-09,Any Mental Health,Sex,All,7162
2020-09,Any Mental Health,Sex,Female,7709
2020-09,Any Mental Health,Sex,Male,6653
2020-08,Any Mental Health,Sex,All,7154
2020-08,Any Mental Health,Sex,Female,7705
2020-08,Any Mental Health,Sex,Male,6640
2020-07,Any Mental Health,Sex,All,6988
2020-07,Any Mental Health,Sex,Female,7524
2020-07,Any Mental Health,Sex,Male,6487
2020-06,Any Mental Health,Sex,All,7197
2020-06,Any Mental Health,Sex,Female,7735
2020-06,Any Mental Health,Sex,Male,6704
2020-05,Any Mental Health,Sex,All,7718
2020-05,Any Mental Health,Sex,Female,8241
2020-05,Any Mental Health,Sex,Male,7242
2020-04,Any Mental Health,Sex,All,7815
2020-04,Any Mental Health,Sex,Female,8258
2020-04,Any Mental Health,Sex,Male,7427
2020-03,Any Mental Health,Sex,All,6274
2020-03,Any Mental Health,Sex,Female,6585
2020-03,Any Mental Health,Sex,Male,5983
2020-02,Any Mental Health,Sex,All,5971
2020-02,Any Mental Health,Sex,Female,6293
2020-02,Any Mental Health,Sex,Male,5671
2020-01,Any Mental Health,Sex,All,5817
2020-01,Any Mental Health,Sex,Female,6085
2020-01,Any Mental Health,Sex,Male,5564
2019-12,Any Mental Health,Sex,All,5576
2019-12,Any Mental Health,Sex,Female,5842
2019-12,Any Mental Health,Sex,Male,5335
2019-11,Any Mental Health,Sex,All,5881
2019-11,Any Mental Health,Sex,Female,6207
2019-11,Any Mental Health,Sex,Male,5579
2019-10,Any Mental Health,Sex,All,6109
2019-10,Any Mental Health,Sex,Female,6470
2019-10,Any Mental Health,Sex,Male,5780
2019-09,Any Mental Health,Sex,All,6077
2019-09,Any Mental Health,Sex,Female,6448
2019-09,Any Mental Health,Sex,Male,5733
2019-08,Any Mental Health,Sex,All,6153
2019-08,Any Mental Health,Sex,Female,6539
2019-08,Any Mental Health,Sex,Male,5796
2019-07,Any Mental Health,Sex,All,6009
2019-07,Any Mental Health,Sex,Female,6378
2019-07,Any Mental Health,Sex,Male,5663
2019-06,Any Mental Health,Sex,All,5849
2019-06,Any Mental Health,Sex,Female,6199
2019-06,Any Mental Health,Sex,Male,5516
2019-05,Any Mental Health,Sex,All,5870
2019-05,Any Mental Health,Sex,Female,6203
2019-05,Any Mental Health,Sex,Male,5544
2019-04,Any Mental Health,Sex,All,5861
2019-04,Any Mental Health,Sex,Female,6132
2019-04,Any Mental Health,Sex,Male,5541
2019-03,Any Mental Health,Sex,All,5659
2019-03,Any Mental Health,Sex,Female,5897
2019-03,Any Mental Health,Sex,Male,5378
2019-02,Any Mental Health,Sex,All,5518
2019-02,Any Mental Health,Sex,Female,5726
2019-02,Any Mental Health,Sex,Male,5275
2019-01,Any Mental Health,Sex,All,5383
2019-01,Any Mental Health,Sex,Female,5552
2019-01,Any Mental Health,Sex,Male,5182
2025-12,Bipolar Disorders,Sex,All,408
2025-12,Bipolar Disorders,Sex,Female,430
2025-12,Bipolar Disorders,Sex,Male,381
2025-11,Bipolar Disorders,Sex,All,452
2025-11,Bipolar Disorders,Sex,Female,478
2025-11,Bipolar Disorders,Sex,Male,420
2025-10,Bipolar Disorders,Sex,All,461
2025-10,Bipolar Disorders,Sex,Female,492
2025-10,Bipolar Disorders,Sex,Male,422
2025-09,Bipolar Disorders,Sex,All,454
2025-09,Bipolar Disorders,Sex,Female,484
2025-09,Bipolar Disorders,Sex,Male,417
2025-08,Bipolar Disorders,Sex,All,461
2025-08,Bipolar Disorders,Sex,Female,491
2025-08,Bipolar Disorders,Sex,Male,424
2025-07,Bipolar Disorders,Sex,All,471
2025-07,Bipolar Disorders,Sex,Female,501
2025-07,Bipolar Disorders,Sex,Male,434
2025-06,Bipolar Disorders,Sex,All,469
2025-06,Bipolar Disorders,Sex,Female,500
2025-06,Bipolar Disorders,Sex,Male,432
2025-05,Bipolar Disorders,Sex,All,456
2025-05,Bipolar Disorders,Sex,Female,483
2025-05,Bipolar Disorders,Sex,Male,423
2025-04,Bipolar Disorders,Sex,All,457
2025-04,Bipolar Disorders,Sex,Female,482
2025-04,Bipolar Disorders,Sex,Male,425
2025-03,Bipolar Disorders,Sex,All,455
2025-03,Bipolar Disorders,Sex,Female,483
2025-03,Bipolar Disorders,Sex,Male,420
2025-02,Bipolar Disorders,Sex,All,429
2025-02,Bipolar Disorders,Sex,Female,457
2025-02,Bipolar Disorders,Sex,Male,394
2025-01,Bipolar Disorders,Sex,All,421
2025-01,Bipolar Disorders,Sex,Female,446
2025-01,Bipolar Disorders,Sex,Male,389
2024-12,Bipolar Disorders,Sex,All,406
2024-12,Bipolar Disorders,Sex,Female,429
2024-12,Bipolar Disorders,Sex,Male,379
2024-11,Bipolar Disorders,Sex,All,442
2024-11,Bipolar Disorders,Sex,Female,469
2024-11,Bipolar Disorders,Sex,Male,409
2024-10,Bipolar Disorders,Sex,All,443
2024-10,Bipolar Disorders,Sex,Female,470
2024-10,Bipolar Disorders,Sex,Male,410
2024-09,Bipolar Disorders,Sex,All,442
2024-09,Bipolar Disorders,Sex,Female,467
2024-09,Bipolar Disorders,Sex,Male,411
2024-08,Bipolar Disorders,Sex,All,458
2024-08,Bipolar Disorders,Sex,Female,483
2024-08,Bipolar Disorders,Sex,Male,427
2024-07,Bipolar Disorders,Sex,All,461
2024-07,Bipolar Disorders,Sex,Female,488
2024-07,Bipolar Disorders,Sex,Male,428
2024-06,Bipolar Disorders,Sex,All,457
2024-06,Bipolar Disorders,Sex,Female,483
